Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Iceland,0.250322373,0.216762965,0.393601092,0.261254722,0.370645938,0.314708264,0.207824069,0.376755507,115,100,135,120,125,70,80,85
Namibia,32.27077384,32.86705216,33.39246117,31.19732528,31.76068439,27.03224616,30.51253833,29.9412937,115,95,145,165,135,100,90,110
Sierra Leone,15.57144948,16.62172696,17.79235775,17.76536147,19.28943043,18.00202812,19.5445002,19.06572922,115,125,80,120,95,85,105,130
Nicaragua,2.650197826,2.603651265,2.748830472,2.599197669,2.970183956,2.71516165,3.186831194,3.157359772,120,105,160,190,205,120,480,500
Georgia,5.131762061,5.145604683,5.230325006,4.905700144,4.993076887,4.370556474,4.508411289,4.249639963,135,150,170,185,210,120,265,440
Antigua and Barbuda,0.369035741,0.370692466,0.290989959,0.56982559,0.203154741,0.287542706,0.520147178,0.212838715,140,160,215,220,245,115,255,220
Chad,7.412129617,8.007940096,8.589516468,8.673339242,9.483486157,8.819968431,9.694650013,9.53951245,150,190,175,290,285,150,355,405
Bolivia,6.059687006,6.395747146,6.711443115,6.622918507,7.118404823,6.469705959,7.553865705,7.463515304,155,205,180,250,260,185,465,485
Mauritania,5.556695309,5.636728948,5.84769848,5.644759263,5.92842976,5.345693559,5.605027249,5.299348805,155,100,140,150,160,115,200,200
Grenada,0.4418748,0.521751712,0.361995096,0.271823221,0.32210913,0.330166884,0.350448157,0.311736471,160,175,180,165,145,120,190,175
Gabon,27.20224322,29.06643916,31.27401698,31.25658089,34.07722892,31.84952363,34.71451111,33.96715936,170,145,145,165,180,130,215,290
Panama,2.818415834,3.233595687,3.608599119,3.527917225,2.695547169,2.315141662,3.220377722,3.486472485,180,190,255,500,345,250,525,605
Botswana,18.11499841,17.86158645,17.82828699,16.41141498,16.59581411,14.22993925,15.44689441,15.27554632,185,170,175,130,145,110,120,120
Estonia,1.119514007,1.068580625,1.077223054,1.024899493,1.004119862,0.724024096,0.704697006,0.790803727,190,195,195,285,190,95,105,100
Slovenia,0.57688803,0.553168444,0.573449185,0.534360566,0.523419252,0.362289672,0.375365891,0.310367268,195,195,215,240,215,95,115,85
